iteration , time , objectiveFunctionValue , userLoss , userLambda , userNorm , movieLoss , movieLambda , movieNorm , test-NDCG@10 , train-NDCG@10 , 
1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.494046 , 0.491361 , 
2 , 18.51 , 1442.1 , 13.5763 , 10 , 37.6174 , 53.3071 , 10 , 101.261 , 0.6442 , 0.903142 , 
3 , 35.53 , 1379.69 , 19.939 , 10 , 46.2519 , 25.6266 , 10 , 89.154 , 0.685026 , 0.958685 , 
4 , 56.95 , 1309.38 , 14.5691 , 10 , 48.1716 , 20.5188 , 10 , 80.7145 , 0.707128 , 0.970635 , 
5 , 74.43 , 1260.15 , 13.5214 , 10 , 48.8688 , 18.8846 , 10 , 75.2576 , 0.714988 , 0.971605 , 
6 , 95.87 , 1227.81 , 13.3861 , 10 , 49.2601 , 16.4344 , 10 , 71.8772 , 0.717695 , 0.954805 , 
7 , 120.3 , 1204.33 , 13.2213 , 10 , 49.8308 , 15.4704 , 10 , 69.0554 , 0.702829 , 0.965856 , 
8 , 136.98 , 1192.3 , 13.1271 , 10 , 50.6715 , 14.1046 , 10 , 67.1477 , 0.710666 , 0.97406 , 
9 , 153.94 , 1185.15 , 13.1315 , 10 , 51.3273 , 19.7242 , 10 , 65.2155 , 0.724963 , 0.975888 , 
10 , 170.93 , 1172.99 , 12.9582 , 10 , 52.0769 , 13.8361 , 10 , 63.8382 , 0.727504 , 0.976173 , 
11 , 188.22 , 1166.48 , 12.9743 , 10 , 52.7986 , 14.6737 , 10 , 62.3822 , 0.718242 , 0.975675 , 
12 , 206.1 , 1164.93 , 12.8974 , 10 , 53.6703 , 13.6784 , 10 , 61.4548 , 0.724475 , 0.969318 , 
13 , 228.89 , 1163.5 , 12.7338 , 10 , 54.5121 , 13.8634 , 10 , 60.4518 , 0.727425 , 0.969051 , 
14 , 245.08 , 1161.95 , 12.8164 , 10 , 55.1864 , 14.9285 , 10 , 59.5159 , 0.72006 , 0.969975 , 
15 , 269.48 , 1161.69 , 12.807 , 10 , 56.0295 , 13.8546 , 10 , 58.7536 , 0.731393 , 0.964726 , 
16 , 292.75 , 1165.36 , 13.061 , 10 , 56.6665 , 18.6547 , 10 , 58.0035 , 0.723199 , 0.971481 , 
17 , 321.15 , 1163.8 , 12.9681 , 10 , 57.6359 , 13.1038 , 10 , 57.4338 , 0.720361 , 0.970935 , 
18 , 342.66 , 1165.62 , 13.4907 , 10 , 57.9375 , 15.3009 , 10 , 57.0945 , 0.722801 , 0.970071 , 
19 , 365.85 , 1164.55 , 13.0502 , 10 , 58.4015 , 12.9496 , 10 , 56.759 , 0.721559 , 0.977748 , 
20 , 386.68 , 1165.37 , 13.5358 , 10 , 58.6394 , 13.2809 , 10 , 56.5692 , 0.716541 , 0.972241 , 
21 , 400.92 , 1169.34 , 13.5188 , 10 , 58.7299 , 15.9349 , 10 , 56.6105 , 0.725696 , 0.975295 , 
22 , 417.78 , 1165.71 , 13.5386 , 10 , 58.3968 , 12.9255 , 10 , 56.8813 , 0.722231 , 0.975763 , 
23 , 437.73 , 1165.83 , 14.2776 , 10 , 57.9351 , 13.3019 , 10 , 57.3181 , 0.723329 , 0.96772 , 
24 , 454.68 , 1163.95 , 13.5913 , 10 , 57.676 , 13.1324 , 10 , 57.4053 , 0.720457 , 0.972964 , 
25 , 470.65 , 1163.68 , 13.6595 , 10 , 57.8004 , 13.4558 , 10 , 57.2223 , 0.715872 , 0.971336 , 
26 , 486.97 , 1172.19 , 13.532 , 10 , 58.137 , 21.0692 , 10 , 56.975 , 0.714308 , 0.976518 , 
27 , 506.53 , 1163.92 , 13.1961 , 10 , 58.3416 , 13.0188 , 10 , 56.7489 , 0.720649 , 0.977995 , 
28 , 528.5 , 1166.43 , 13.881 , 10 , 58.5092 , 13.4173 , 10 , 56.7916 , 0.716479 , 0.966534 , 
29 , 547.34 , 1165.93 , 13.5756 , 10 , 58.5248 , 14.2334 , 10 , 56.6452 , 0.718425 , 0.977245 , 
30 , 562.86 , 1164.58 , 13.4358 , 10 , 58.5265 , 12.9163 , 10 , 56.6394 , 0.721887 , 0.976176 , 
31 , 577.03 , 1167.05 , 14.2517 , 10 , 58.3233 , 13.2792 , 10 , 57.054 , 0.720907 , 0.975006 , 
32 , 595.82 , 1163.67 , 13.5624 , 10 , 58.0751 , 13.3558 , 10 , 56.956 , 0.715107 , 0.974381 , 
